Date,Total,Month,Day,Year
Oct-95,122.2,10,1,1995
Nov-95,107.8,11,1,1995
Dec-95,97.4,12,1,1995
Jan-96,88.3,1,1,1996
Feb-96,96,2,1,1996
Mar-96,120.4,3,1,1996
Apr-96,140.1,4,1,1996
May-96,140.5,5,1,1996
Jun-96,131.4,6,1,1996
Jul-96,135.1,7,1,1996
Aug-96,129.1,8,1,1996
Sep-96,121.1,9,1,1996
Oct-96,123.7,10,1,1996
Nov-96,100.7,11,1,1996
Dec-96,99.2,12,1,1996
Jan-97,88.1,1,1,1997
Feb-97,94.1,2,1,1997
Mar-97,120.1,3,1,1997
Apr-97,137.2,4,1,1997
May-97,131.6,5,1,1997
Jun-97,133.6,6,1,1997
Jul-97,133.7,7,1,1997
Aug-97,126,8,1,1997
Sep-97,134.4,9,1,1997
Oct-97,135.5,10,1,1997
Nov-97,100.4,11,1,1997
Dec-97,106.4,12,1,1997
Jan-98,96.2,1,1,1998
Feb-98,107.4,2,1,1998
Mar-98,140.9,3,1,1998
Apr-98,146.3,4,1,1998
May-98,138.2,5,1,1998
Jun-98,153.4,6,1,1998
Jul-98,149.3,7,1,1998
Aug-98,144.7,8,1,1998
Sep-98,141.7,9,1,1998
Oct-98,149.8,10,1,1998
Nov-98,119.9,11,1,1998
Dec-98,124.5,12,1,1998
Jan-99,105.7,1,1,1999
Feb-99,114.7,2,1,1999
Mar-99,154.6,3,1,1999
Apr-99,151.8,4,1,1999
May-99,145.1,5,1,1999
Jun-99,169.3,6,1,1999
Jul-99,149.1,7,1,1999
Aug-99,151.9,8,1,1999
Sep-99,137.3,9,1,1999
Oct-99,137.6,10,1,1999
Nov-99,125.6,11,1,1999
Dec-99,120.9,12,1,1999
Jan-00,107.3,1,1,2000
Feb-00,121.8,2,1,2000
Mar-00,153.7,3,1,2000
Apr-00,138.9,4,1,2000
May-00,148.9,5,1,2000
Jun-00,155.1,6,1,2000
Jul-00,129.8,7,1,2000
Aug-00,146.8,8,1,2000
Sep-00,131.4,9,1,2000
Oct-00,134.8,10,1,2000
Nov-00,121,11,1,2000
Dec-00,102.9,12,1,2000
1-Jan,117,1,1,2001
1-Feb,114.3,2,1,2001
1-Mar,147.7,3,1,2001
1-Apr,148.6,4,1,2001
1-May,159.8,5,1,2001
1-Jun,153.9,6,1,2001
1-Jul,140.6,7,1,2001
1-Aug,151.4,8,1,2001
1-Sep,125.2,9,1,2001
1-Oct,140.2,10,1,2001
1-Nov,124.4,11,1,2001
1-Dec,113.6,12,1,2001
2-Jan,115.7,1,1,2002
2-Feb,122.5,2,1,2002
2-Mar,143.2,3,1,2002
2-Apr,156,4,1,2002
2-May,164.2,5,1,2002
2-Jun,158,6,1,2002
2-Jul,159.3,7,1,2002
2-Aug,153.7,8,1,2002
2-Sep,149.5,9,1,2002
2-Oct,162.9,10,1,2002
2-Nov,126.8,11,1,2002
2-Dec,135.8,12,1,2002
3-Jan,126.4,1,1,2003
3-Feb,128.5,2,1,2003
3-Mar,148.4,3,1,2003
3-Apr,167.6,4,1,2003
3-May,169.5,5,1,2003
3-Jun,175.8,6,1,2003
3-Jul,173,7,1,2003
3-Aug,169.9,8,1,2003
3-Sep,169.1,9,1,2003
3-Oct,182.8,10,1,2003
3-Nov,130.5,11,1,2003
3-Dec,147.9,12,1,2003
4-Jan,132,1,1,2004
4-Feb,137.1,2,1,2004
4-Mar,190.7,3,1,2004
4-Apr,192.5,4,1,2004
4-May,188.4,5,1,2004
4-Jun,197.1,6,1,2004
4-Jul,185.9,7,1,2004
4-Aug,185.2,8,1,2004
4-Sep,174.9,9,1,2004
4-Oct,174.5,10,1,2004
4-Nov,156.4,11,1,2004
4-Dec,155.2,12,1,2004
5-Jan,139.7,1,1,2005
5-Feb,149.4,2,1,2005
5-Mar,190.5,3,1,2005
5-Apr,193.2,4,1,2005
5-May,193.1,5,1,2005
5-Jun,211.9,6,1,2005
5-Jul,185.5,7,1,2005
5-Aug,208,8,1,2005
5-Sep,193.7,9,1,2005
5-Oct,176,10,1,2005
5-Nov,162.9,11,1,2005
5-Dec,151.3,12,1,2005
6-Jan,152.6,1,1,2006
6-Feb,151,2,1,2006
6-Mar,194.2,3,1,2006
6-Apr,168.6,4,1,2006
6-May,184.4,5,1,2006
6-Jun,184.2,6,1,2006
6-Jul,148,7,1,2006
6-Aug,161.2,8,1,2006
6-Sep,136.6,9,1,2006
6-Oct,133.1,10,1,2006
6-Nov,111.4,11,1,2006
6-Dec,113.6,12,1,2006
7-Jan,114.1,1,1,2007
7-Feb,112.1,2,1,2007
7-Mar,139.4,3,1,2007
7-Apr,130.9,4,1,2007
